,Current Ranking,University Name,Overall Score,"City, Country",2021 Ranking,2020 Ranking,2019 Ranking,Status,Research Output,Student/Faculty Ratio,Scholarships,International Students,Size,Total Faculty
76,77,University of Southampton,65.7,"Southampton,United Kingdom",90,97,96,Public,Very High,9,Yes,"8,417",L,"2,468"
77,78,Lomonosov Moscow State University,65.6,"Moscow,Russia",74,84,90,Public,Very High,5,Yes,"10,239",XL,"6,575"
78,=79,University of Copenhagen,65.5,"Copenhagen,Denmark",76,=81,=79,Public,Very High,4,,"4,135",XL,"7,293"
79,=79,Yonsei University,65.5,"Seoul,South Korea",85,104,107,Private,Very High,6,,"4,274",L,"3,605"
80,81,Pohang University of Science And Technology (POSTECH),65.4,"Pohang ,South Korea",77,87,=83,Private,Very High,4,,87,S,743
81,=82,Durham University,65.2,"Durham,United Kingdom",86,78,74,Public,Very High,11,Yes,"6,174",L,"1,775"
82,=82,Tohoku University,65.2,"Sendai City,Japan",79,82,77,Public,Very High,5,,"1,872",L,"3,323"
83,=82,University of Illinois at Urbana-Champaign,65.2,"Champaign,United States",82,75,71,Public,Very High,17,,"9,987",XL,"2,748"
84,=85,The University of Auckland,65,"Auckland,New Zealand",81,=83,85,Public,Very High,12,Yes,"9,924",L,"2,316"
85,=85,University of Washington,65,"Seattle,United States",72,68,66,Public,Very High,15,,"7,362",XL,"2,796"
86,=86,Université Paris-Saclay,64.9,France,-,-,-,,,,,,,
87,87,Lund University,63.8,"Lund,Sweden",97,92,92,Public,Very High,9,Yes,"6,682",L,"3,040"
88,88,Georgia Institute of Technology,63.5,"Atlanta,United States",80,72,=69,Public,Very High,19,,"5,675",L,"1,267"
89,89,KTH Royal Institute of Technology,63.2,"Stockholm,Sweden",98,-,=104,Public,Very High,8,Yes,"3,057",L,
90,90,University of Birmingham,62.9,"Birmingham,United Kingdom",87,81,=79,Public,Very High,9,Yes,"10,457",XL,"3,586"
91,91,University of St Andrews,62.8,"St. Andrews,United Kingdom",96,-,97,Public,Very High,8,Yes,"4,377",M,"1,208"
92,92,University of Leeds,62.6,"Leeds,United Kingdom",91,93,=93,Public,Very High,10,Yes,"11,584",XL,"3,593"
93,93,The University of Western Australia,62.5,"Perth,Australia",92,86,91,Public,Very High,12,Yes,"9,017",L,"1,539"
94,94,Rice University,62.3,"Houston,United States",89,85,=87,Private,Very High,7,Yes,"2,278",M,996
95,95,The University of Sheffield,61.6,"Sheffield,United Kingdom",93,78,=75,Public,Very High,8,Yes,"11,090",L,"3,463"
96,96,Pennsylvania State University,61.5,"University Park,United States",-,93,95,Public,Very High,11,,"6,943",XL,"4,207"
97,100,"University of North Carolina, Chapel Hill",59.6,"Chapel Hill,United States",95,90,=83,Public,Very High,7,,"2,749",XL,"4,646"
98,101,"Trinity College Dublin, The University of Dublin",59.5,"Dublin,Ireland",-,108,=104,Public,Very High,12,,"5,593",L,"1,383"
99,102,University of Oslo,59,"Oslo,Norway",113,119,135,Public,Very High,7,,"2,560",L,"2,600"
100,103,University of Nottingham,58.9,"Nottingham,United Kingdom",-,96,82,Public,Very High,10,Yes,"9,659",XL,"3,386"
101,104,University of Helsinki,58.5,"Helsinki,Finland",104,107,110,Public,Very High,8,Yes,"1,254",L,"2,855"
102,=105,Universidad Nacional Autónoma de México (UNAM),58.3,"Mexico City,Mexico",-,-,113,Public,Very High,9,,"5,110",XL,"16,381"
103,=105,University of Geneva,58.3,"Geneva,Switzerland",106,110,108,Public,Very High,9,Yes,"6,547",L,"1,814"
